,MOUSSE,,,,,,BILLE/PELET,,,,,,FILM,,,,,,,,,,,,,,,
Echantillon,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,,,,,,Plage,Echantillon,Fibres,Particules dures,Particules souples
74_Tou_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Tougues,74_Tou_7,114,6,9
74_Tou_8,,,,1,,,,,,,,,,,,,,,,,,,,Tougues,74_Tou_8,59,27,29
74_Tou_9,,,,,,,,,,,,,,,,,,,,,,,,Tougues,74_Tou_9,156,7,9
GE_Bab_1,,,,,,,,,,,,,,,,,,,,,,,,Baby Plage,GE_Bab_1,22,1,0
GE_Bab_10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,Baby Plage,GE_Bab_10,169,7,18
GE_Bab_11,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,Baby Plage,GE_Bab_11,105,51,50
GE_Bab_2,,,,,,,,,,,,,,,,,,,,,,,,Baby Plage,GE_Bab_2,122,3,0
GE_Bab_3,,,,,,,,,,,,,,,,,,,,,,,,Baby Plage,GE_Bab_3,31,1,0
GE_Bab_4,,,,,,,,,,,,,,,,,,,,,,,,Baby Plage,GE_Bab_4,21,6,0
GE_Bab_5,,,,,,,,,,,,,,,,,,,,,,,,Baby Plage,GE_Bab_5,119,19,0
GE_Bab_6,,,,,,,,,,,,,,,,,,,,,,,,Baby Plage,GE_Bab_6,51,8,0
GE_Bab_7,,,,,,,,,,,,,,,,,,,,,,,,Baby Plage,GE_Bab_7,88,12,0
GE_Bab_8,,,,,,,,,,,,,,,,,,,,,,,,Baby Plage,GE_Bab_8,203,16,4
GE_Bab_9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Baby Plage,GE_Bab_9,148,8,5
GE_Her_1,,,,,,,,,,,,,,,,,,,,,,,,Hermance,GE_Her_1,79,3,0
GE_Her_2,,,,,,,,,,,,,,,,,,,,,,,,Hermance,GE_Her_2,25,1,0
GE_Her_3,,,,,,,,,,,,,,,,,,,,,,,,Hermance,GE_Her_3,69,4,0
GE_Her_4,,,,,,,,,,,,,,,,,,,,,,,,Hermance,GE_Her_4,76,9,0
GE_Her_5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Hermance,GE_Her_5,206,12,12
GE_Her_6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,Hermance,GE_Her_6,188,10,8
GE_Her_7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Hermance,GE_Her_7,257,12,21
GE_Her_8,,,,,,,,,,,,,,,,,,,,,,,,Hermance,GE_Her_8,45,3,9
GE_Her_9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Hermance,GE_Her_9,437,6,18
GE_Por_1,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_1,37,2,1
GE_Por_10,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_10,859,197,20
GE_Por_2,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_2,61,1,0
GE_Por_3,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_3,80,10,1
GE_Por_4,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_4,62,3,5
GE_Por_5,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_5,35,0,1
GE_Por_6,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_6,84,1,0
GE_Por_7,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_7,773,696,23
GE_Por_9,,,,,,,,,,,,,,,,,,,,,,,,Port Choiseul,GE_Por_9,789,157,31
GE_Sav_1,,,,,,,,,,,,,,,,,,,,,,,,Savonnière,GE_Sav_1,110,10,0
GE_Sav_2,,,,,,,,,,,,,,,,,,,,,,,,Savonnière,GE_Sav_2,24,2,0
GE_Sav_3,,,,,,,,,,,,,,,,,,,,,,,,Savonnière,GE_Sav_3,210,34,0
GE_Sav_4,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Savonnière,GE_Sav_4,280,28,53
GE_Sav_6,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,Savonnière,GE_Sav_6,341,56,153
GE_Sav_7,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,Savonnière,GE_Sav_7,106,7,27
GE_Sav_8,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Savonnière,GE_Sav_8,180,8,13
GE_Sav_9,0,0,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Savonnière,GE_Sav_9,375,19,40
GE_Ver_1,,,,,,,,,,,,,,,,,,,,,,,,Versoix,GE_Ver_1,59,3,0
GE_Ver_2,,,,,,,,,,,,,,,,,,,,,,,,Versoix,GE_Ver_2,134,10,2
GE_Ver_3,,,,,,,,,,,,,,,,,,,,,,,,Versoix,GE_Ver_3,89,1,0
GE_Ver_4,,,,,,,,,,,,,,,,,,,,,,,,Versoix,GE_Ver_4,84,17,0
VD_Aub_1,,,,,,,,,,,,,,,,,,,,,,,,Aubonne,VD_Aub_1,39,5,0
VD_Aub_2,,,,,,,,,,,,,,,,,,,,,,,,Aubonne,VD_Aub_2,51,8,0
VD_Aub_3,,,,,,,,,,,,,,,,,,,,,,,,Aubonne,VD_Aub_3,86,2,1
VD_Aub_4,,,,,,,,,,,,,,,,,,,,,,,,Aubonne,VD_Aub_4,30,37,0
VD_Aub_5,,,,,,,,,,,,,,,,,,,,,,,,Aubonne,VD_Aub_5,42,11,2
VD_Aub_6,,,,,,,,,,,,,,,,,,,,,,,,Aubonne,VD_Aub_6,76,10,1
VD_Aub_7,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Aubonne,VD_Aub_7,132,5,63
VD_Aub_9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Aubonne,VD_Aub_9,105,17,34
VD_Cls_1,,,,,,,,,,,,,,,,,,,,,,,,Clarens,VD_Cls_1,44,7,1
VD_Cls_2,,,,,,,,,,,,,,,,,,,,,,,,Clarens,VD_Cls_2,84,3,2
VD_Cls_3,,,,,,,,,,,,,,,,,,,,,,,,Clarens,VD_Cls_3,42,7,0
VD_Cls_4,,,,,,,,,,,,,,,,,,,,,,,,Clarens,VD_Cls_4,25,2,0
VD_Cls_5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Clarens,VD_Cls_5,31,2,3
VD_Cls_6,0,1,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Clarens,VD_Cls_6,119,17,26
VD_Cra_1,,,,,,,,,,,,,,,,,,,,,,,,Crans,VD_Cra_1,17,2,0
VD_Cul_1,,,,,,,,,,,,,,,,,,,,,,,,Cully,VD_Cul_1,117,11,0
VD_Cul_2,,,,,,,,,,,,,,,,,,,,,,,,Cully,VD_Cul_2,0,0,0
VD_Gld_1,,,,,,,,,,,,,,,,,,,,,,,,Gland,VD_Gld_1,26,8,6
VD_Grs_1,,,,,,,,,,,,,,,,,,,,,,,,Grangettes,VD_Grs_1,181,14,502
VD_Grs_2,,,,,,,,,,,,,,,,,,,,,,,,Grangettes,VD_Grs_2,112,10,166
VD_Grs_3,,,,,,,,,,,,,,,,,,,,,,,,Grangettes,VD_Grs_3,89,10,0
VD_Grs_4,,,,,,,,,,,,,,,,,,,,,,,,Grangettes,VD_Grs_4,273,6,316
VD_Grs_6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Grangettes,VD_Grs_6,564,5,53
VD_Grs_7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Grangettes,VD_Grs_7,186,2,21
VD_Lut_1,,,,,,,,,,,,,,,,,,,,,,,,Lutry,VD_Lut_1,126,0,0
VD_Lut_2,,,,,,,,,,,,,,,,,,,,,,,,Lutry,VD_Lut_2,61,7,1
VD_Lut_3,,,,,,,,,,,,,,,,,,,,,,,,Lutry,VD_Lut_3,68,2,2
VD_Lut_4,,,,,,,,,,,,,,,,,,,,,,,,Lutry,VD_Lut_4,39,2,0
VD_Lut_5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Lutry,VD_Lut_5,77,4,10
