Plage,echantillon,orientation,position,substrat,frequentation,situation,distance,objet,compte,lat,lon
Excenevex,74_Exc_21,NE,2,1,3,1,1,fibres,57,46.34981667,6.3595
Excenevex,74_Exc_22,NE,2,1,3,1,1,fibres,110,46.34981667,6.3595
Excenevex,74_Exc_23,NE,2,1,3,1,1,fibres,30,46.34981667,6.3595
Excenevex,74_Exc_25,NE,2,1,3,1,1,fibres,51,46.34981667,6.3595
Excenevex,74_Exc_27,NE,2,1,3,1,1,fibres,168,46.34981667,6.3595
Excenevex,74_Exc_29,NE,2,1,3,1,1,fibres,40,46.34981667,6.3595
Excenevex,74_Exc_3,NE,1,1,3,1,1,fibres,109,46.34981667,6.3595
Excenevex,74_Exc_30,NE,2,1,3,1,1,fibres,59,46.34981667,6.3595
Excenevex,74_Exc_31,NE,2,1,3,1,1,fibres,57,46.34981667,6.3595
Excenevex,74_Exc_32,NE,2,1,3,1,1,fibres,187,46.34981667,6.3595
Excenevex,74_Exc_33,NE,2,1,3,1,1,fibres,189,46.34981667,6.3595
Excenevex,74_Exc_34,NE,2,1,3,1,1,fibres,176,46.34981667,6.3595
Excenevex,74_Exc_4,NE,1,1,3,1,1,fibres,39,46.34981667,6.3595
Excenevex,74_Exc_5,NE,1,1,3,1,1,fibres,33,46.34981667,6.3595
Excenevex,74_Exc_6,NE,1,1,3,1,1,fibres,125,46.34981667,6.3595
Excenevex,74_Exc_7,NE,1,1,3,1,1,fibres,120,46.34981667,6.3595
Excenevex,74_Exc_8,NE,1,1,3,1,1,fibres,126,46.34981667,6.3595
Excenevex,74_Exc_9,NE,2,1,3,1,1,fibres,157,46.34981667,6.3595
Lugrin,74_Lug_1,NNE,1,4,2,1,2,fibres,110,46.40485,6.667833333
Lugrin,74_Lug_2,N,1,4,2,1,2,fibres,126,46.40485,6.667833333
Lugrin,74_Lug_3,NNO,1,4,2,1,2,fibres,66,46.40485,6.667833333
Lugrin,74_Lug_4,N,2,4,2,1,2,fibres,54,46.40485,6.667833333
Lugrin,74_Lug_5,N,2,4,2,1,2,fibres,567,46.40485,6.667833333
Meillerie,74_Mei_1,N,1,2,1,2,3,fibres,26,46.40773333,6.716533333
Saint-Disdille,74_StD_1,N,1,4,2,1,1,fibres,79,46.40105,6.502066667
Saint-Disdille,74_StD_2,N,1,4,2,1,1,fibres,221,46.40105,6.502066667
Saint-Disdille,74_StD_3,NNO,1,4,2,1,1,fibres,261,46.40105,6.502066667
Saint-Disdille,74_StD_4,NNO,1,4,2,1,1,fibres,115,46.40105,6.502066667
Saint-Disdille,74_StD_5,NNO,1,4,2,1,1,fibres,116,46.40105,6.502066667
Saint-Disdille,74_StD_6,NO,1,4,2,1,1,fibres,113,46.40105,6.502066667
Tougues,74_Tou_1,NO,1,2,3,1,2,fibres,63,46.32471667,6.256883333
Tougues,74_Tou_10,NO,2,2,3,1,2,fibres,187,46.32471667,6.256883333
Tougues,74_Tou_11,NO,2,2,3,1,2,fibres,118,46.32471667,6.256883333
Tougues,74_Tou_2,NO,1,2,3,1,2,fibres,161,46.32471667,6.256883333
Tougues,74_Tou_3,NO,1,2,3,1,2,fibres,21,46.32471667,6.256883333
Tougues,74_Tou_4,NO,1,2,3,1,2,fibres,20,46.32471667,6.256883333
Tougues,74_Tou_5,NO,1,2,3,1,2,fibres,43,46.32471667,6.256883333
Tougues,74_Tou_6,NO,1,2,3,1,2,fibres,50,46.32471667,6.256883333
Tougues,74_Tou_7,NO,2,2,3,1,2,fibres,114,46.32471667,6.256883333
Tougues,74_Tou_8,NO,2,2,3,1,2,fibres,59,46.32471667,6.256883333
Tougues,74_Tou_9,NO,2,2,3,1,2,fibres,156,46.32471667,6.256883333
Baby Plage,GE_Bab_1,NNE,1,1,3,2,2,fibres,22,46.20878333,6.16285
Baby Plage,GE_Bab_10,N,2,1,3,2,2,fibres,169,46.20878333,6.16285
Baby Plage,GE_Bab_11,N,2,1,3,2,2,fibres,105,46.20878333,6.16285
Baby Plage,GE_Bab_2,N,1,1,3,2,2,fibres,122,46.20878333,6.16285
