Plage,echantillon,position,substrat,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation,lat,lon
Tougues,74_Tou_8,2,2,115.0,59.0,27.0,29.0,56.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Tougues,74_Tou_9,2,2,172.0,156.0,7.0,9.0,16.0,3.0,1.0,2.0,NO,46.32471667,6.256883333
Baby Plage,GE_Bab_1,1,1,23.0,22.0,1.0,0.0,1.0,3.0,2.0,2.0,NNE,46.20878333,6.16285
Baby Plage,GE_Bab_10,2,1,194.0,169.0,7.0,18.0,25.0,3.0,2.0,2.0,N,46.20878333,6.16285
Baby Plage,GE_Bab_11,2,1,206.0,105.0,51.0,50.0,101.0,3.0,2.0,2.0,N,46.20878333,6.16285
Baby Plage,GE_Bab_2,1,1,125.0,122.0,3.0,0.0,3.0,3.0,2.0,2.0,N,46.20878333,6.16285
Baby Plage,GE_Bab_3,1,1,32.0,31.0,1.0,0.0,1.0,3.0,2.0,2.0,N,46.20878333,6.16285
Baby Plage,GE_Bab_4,1,1,27.0,21.0,6.0,0.0,6.0,3.0,2.0,2.0,N,46.20878333,6.16285
Baby Plage,GE_Bab_5,1,1,138.0,119.0,19.0,0.0,19.0,3.0,2.0,2.0,N,46.20878333,6.16285
Baby Plage,GE_Bab_6,2,1,59.0,51.0,8.0,0.0,8.0,3.0,2.0,2.0,NNE,46.20878333,6.16285
Baby Plage,GE_Bab_7,2,1,100.0,88.0,12.0,0.0,12.0,3.0,2.0,2.0,NNE,46.20878333,6.16285
Baby Plage,GE_Bab_8,2,1,223.0,203.0,16.0,4.0,20.0,3.0,2.0,2.0,N,46.20878333,6.16285
Baby Plage,GE_Bab_9,2,1,161.0,148.0,8.0,5.0,13.0,3.0,2.0,2.0,N,46.20878333,6.16285
Hermance,GE_Her_1,1,3,82.0,79.0,3.0,0.0,3.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Hermance,GE_Her_2,1,3,26.0,25.0,1.0,0.0,1.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Hermance,GE_Her_3,1,3,73.0,69.0,4.0,0.0,4.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Hermance,GE_Her_4,1,3,85.0,76.0,9.0,0.0,9.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Hermance,GE_Her_5,2,3,230.0,206.0,12.0,12.0,24.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Hermance,GE_Her_6,2,3,206.0,188.0,10.0,8.0,18.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Hermance,GE_Her_7,2,3,290.0,257.0,12.0,21.0,33.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Hermance,GE_Her_8,2,3,57.0,45.0,3.0,9.0,12.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Hermance,GE_Her_9,2,3,461.0,437.0,6.0,18.0,24.0,3.0,2.0,2.0,OSO,46.30358333,6.240833333
Port Choiseul,GE_Por_1,1,3,40.0,37.0,2.0,1.0,3.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Port Choiseul,GE_Por_10,2,3,1076.0,859.0,197.0,20.0,217.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Port Choiseul,GE_Por_2,1,3,62.0,61.0,1.0,0.0,1.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Port Choiseul,GE_Por_3,1,3,91.0,80.0,10.0,1.0,11.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Port Choiseul,GE_Por_4,1,3,70.0,62.0,3.0,5.0,8.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Port Choiseul,GE_Por_5,1,3,36.0,35.0,0.0,1.0,1.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Port Choiseul,GE_Por_6,1,3,85.0,84.0,1.0,0.0,1.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Port Choiseul,GE_Por_7,2,3,1492.0,773.0,696.0,23.0,719.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Port Choiseul,GE_Por_9,2,3,977.0,789.0,157.0,31.0,188.0,3.0,2.0,2.0,NE,46.28966667,6.170716667
Savonnière,GE_Sav_1,1,4,120.0,110.0,10.0,0.0,10.0,3.0,1.0,1.0,NO,46.26413333,6.199733333
Savonnière,GE_Sav_2,1,4,26.0,24.0,2.0,0.0,2.0,3.0,1.0,1.0,NO,46.26413333,6.199733333
Savonnière,GE_Sav_3,1,4,244.0,210.0,34.0,0.0,34.0,3.0,1.0,1.0,OSO,46.26413333,6.199733333
Savonnière,GE_Sav_4,2,2,361.0,280.0,28.0,53.0,81.0,3.0,1.0,1.0,NO,46.26413333,6.199733333
Savonnière,GE_Sav_6,2,2,550.0,341.0,56.0,153.0,209.0,3.0,1.0,1.0,NO,46.26413333,6.199733333
Savonnière,GE_Sav_7,2,2,140.0,106.0,7.0,27.0,34.0,3.0,1.0,1.0,NO,46.26413333,6.199733333
Savonnière,GE_Sav_8,2,2,201.0,180.0,8.0,13.0,21.0,3.0,1.0,1.0,NO,46.26413333,6.199733333
Savonnière,GE_Sav_9,2,2,434.0,375.0,19.0,40.0,59.0,3.0,1.0,1.0,NO,46.26413333,6.199733333
Versoix,GE_Ver_1,1,3,62.0,59.0,3.0,0.0,3.0,3.0,1.0,2.0,ESE,46.27405,6.171316667
Versoix,GE_Ver_2,1,3,146.0,134.0,10.0,2.0,12.0,3.0,1.0,2.0,ESE,46.27405,6.171316667
Versoix,GE_Ver_3,1,3,90.0,89.0,1.0,0.0,1.0,3.0,1.0,2.0,ESE,46.27405,6.171316667
Versoix,GE_Ver_4,2,3,101.0,84.0,17.0,0.0,17.0,3.0,1.0,2.0,ESE,46.27405,6.171316667
Aubonne,VD_Aub_1,1,4,44.0,39.0,5.0,0.0,5.0,2.0,1.0,4.0,ONO,46.46026667,6.39115
Aubonne,VD_Aub_2,1,4,59.0,51.0,8.0,0.0,8.0,2.0,1.0,4.0,O,46.46026667,6.39115
Aubonne,VD_Aub_3,1,4,89.0,86.0,2.0,1.0,3.0,2.0,1.0,4.0,OSO,46.46026667,6.39115
Aubonne,VD_Aub_4,1,4,67.0,30.0,37.0,0.0,37.0,2.0,1.0,4.0,OSO,46.46026667,6.39115
Aubonne,VD_Aub_5,1,4,55.0,42.0,11.0,2.0,13.0,2.0,1.0,4.0,SO,46.46026667,6.39115
Aubonne,VD_Aub_6,2,4,87.0,76.0,10.0,1.0,11.0,2.0,1.0,4.0,ONO,46.46026667,6.39115
Aubonne,VD_Aub_7,2,4,200.0,132.0,5.0,63.0,68.0,2.0,1.0,4.0,OSO,46.46026667,6.39115
Aubonne,VD_Aub_9,2,4,156.0,105.0,17.0,34.0,51.0,2.0,1.0,4.0,OSO,46.46026667,6.39115
Clarens,VD_Cls_1,1,4,52.0,44.0,7.0,1.0,8.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Clarens,VD_Cls_2,1,4,89.0,84.0,3.0,2.0,5.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Clarens,VD_Cls_3,1,4,49.0,42.0,7.0,0.0,7.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
Clarens,VD_Cls_4,1,4,27.0,25.0,2.0,0.0,2.0,3.0,2.0,1.0,SSO,46.43941667,6.889566667
