p,E,z,m,fr,fb,fj,fw,fn,fa,fdr,fdb,fdj,fdw,fdn,fda,fsr,fsb,fsj,fsw,fsn,fsa,added,fibres,fdure,souple,fragments
Aubonne,VD_Aub_6,plage-seche,4,5.0,14.0,0.0,38.0,17.0,2.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,87.0,76.0,10.0,1.0,11.0
Tolochenaz,VD_Tol_1,ligne-d'eau,2,2.0,16.0,0.0,28.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,54.0,3.0,0.0,3.0
Tolochenaz,VD_Tol_2,ligne-d'eau,2,2.0,12.0,0.0,24.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.0,1.0,0.0,1.0
Tolochenaz,VD_Tol_3,ligne-d'eau,2,6.0,19.0,0.0,33.0,24.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,82.0,7.0,0.0,7.0
Tolochenaz,VD_Tol_4,ligne-d'eau,2,14.0,29.0,2.0,74.0,57.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,176.0,6.0,0.0,6.0
Préverenges,VD_Pré_1,ligne-d'eau,1,12.0,22.0,2.0,121.0,22.0,0.0,3.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,198.0,179.0,16.0,3.0,19.0
Préverenges,VD_Pré_3,ligne-d'eau,1,11.0,33.0,2.0,166.0,37.0,2.0,4.0,12.0,1.0,29.0,62.0,4.0,0.0,2.0,0.0,116.0,0.0,0.0,481.0,251.0,112.0,118.0,230.0
Préverenges,VD_Pré_4,ligne-d'eau,1,6.0,4.0,1.0,12.0,13.0,0.0,1.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,36.0,41.0,1.0,42.0
Préverenges,VD_Pré_5,ligne-d'eau,1,4.0,7.0,0.0,42.0,14.0,0.0,2.0,1.0,2.0,1.0,51.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,128.0,67.0,58.0,3.0,61.0
Préverenges,VD_Pré_6,ligne-d'eau,1,1.0,12.0,0.0,43.0,12.0,1.0,0.0,3.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,86.0,69.0,15.0,2.0,17.0
