place,événement,zone,substrat,matériel,y,région
Excenevex,74_Exc_8,ligne-d'eau,Sables fin,fibres,126.0,grand-lac
Lugrin,74_Lug_1,ligne-d'eau,Galets,fibres,110.0,haut-lac
Lugrin,74_Lug_2,ligne-d'eau,Galets,fibres,126.0,haut-lac
Lugrin,74_Lug_3,ligne-d'eau,Galets,fibres,66.0,haut-lac
Meillerie,74_Mei_1,ligne-d'eau,Sables grossiers,fibres,26.0,haut-lac
Saint-Disdille,74_StD_1,ligne-d'eau,Galets,fibres,79.0,grand-lac
Saint-Disdille,74_StD_2,ligne-d'eau,Galets,fibres,221.0,grand-lac
Saint-Disdille,74_StD_3,ligne-d'eau,Galets,fibres,261.0,grand-lac
Saint-Disdille,74_StD_4,ligne-d'eau,Galets,fibres,115.0,grand-lac
Saint-Disdille,74_StD_5,ligne-d'eau,Galets,fibres,116.0,grand-lac
Saint-Disdille,74_StD_6,ligne-d'eau,Galets,fibres,113.0,grand-lac
Tougues,74_Tou_1,ligne-d'eau,Sables grossiers,fibres,63.0,haut-lac
Tougues,74_Tou_2,ligne-d'eau,Sables grossiers,fibres,161.0,haut-lac
Tougues,74_Tou_3,ligne-d'eau,Sables grossiers,fibres,21.0,haut-lac
Tougues,74_Tou_4,ligne-d'eau,Sables grossiers,fibres,20.0,haut-lac
Tougues,74_Tou_6,ligne-d'eau,Sables grossiers,fibres,50.0,haut-lac
Port Choiseul,GE_Por_1,ligne-d'eau,Graviers,fibres,37.0,petit-lac
Port Choiseul,GE_Por_2,ligne-d'eau,Graviers,fibres,61.0,petit-lac
Port Choiseul,GE_Por_3,ligne-d'eau,Graviers,fibres,80.0,petit-lac
Port Choiseul,GE_Por_4,ligne-d'eau,Graviers,fibres,62.0,petit-lac
Port Choiseul,GE_Por_5,ligne-d'eau,Graviers,fibres,35.0,petit-lac
Port Choiseul,GE_Por_6,ligne-d'eau,Graviers,fibres,84.0,petit-lac
Grangettes,VD_Grs_1,ligne-d'eau,Sables fin,fibres,181.0,haut-lac
Grangettes,VD_Grs_2,ligne-d'eau,Sables fin,fibres,112.0,haut-lac
Grangettes,VD_Grs_4,ligne-d'eau,Sables fin,fibres,273.0,haut-lac
Préverenges,VD_Pré_2,ligne-d'eau,Sables fin,fibres,240.0,grand-lac
