p,E,z,m,fr,fb,fj,fw,fn,fa,fdr,fdb,fdj,fdw,fdn,fda,fsr,fsb,fsj,fsw,fsn,fsa
Vidy,VD_Vid_11,2,1,,,,,,,,,,,,,,,,,,
Vidy,VD_Vid_12,2,1,,,,,,,,,,,,,,,,,,
Vidy,VD_Vid_13,2,1,,,,,,,,,,,,,,,,,,
Lutry,VD_Lut_1,1,4,31,24,0,49,20,2,0,0,0,0,0,0,0,0,0,0,0,0
Lutry,VD_Lut_2,1,4,9,10,0,33,9,0,0,1,0,5,1,0,0,0,0,1,0,0
Lutry,VD_Lut_3,1,4,2,13,0,37,16,0,1,0,0,1,0,0,0,0,0,2,0,0
Lutry,VD_Lut_4,1,4,3,6,,25,5,,,1,,1,,,,,,,,
Lutry,VD_Lut_5,2,2,,,,,,,,,,,,,,,,,,
Lutry,VD_Lut_6,2,2,,,,,,,,,,,,,,,,,,
Lutry,VD_Lut_7,2,2,,,,,,,,,,,,,,,,,,
Lutry,VD_Lut_8,2,2,,,,,,,,,,,,,,,,,,
Cully,VD_Cul_1,1,3,9,28,1,48,29,2,2,1,0,5,3,0,0,0,0,0,0,0
Cully,VD_Cul_2,2,3,,,,,,,,,,,,,,,,,,
Pichette,VD_Pic_1,1,3,5,3,,1,6,3,1,1,,,,,,,,,,
Pichette,VD_Pic_2,1,3,35,19,0,36,17,0,1,0,0,3,1,1,0,0,0,0,0,0
Pichette,VD_Pic_3,1,3,8,9,0,33,25,0,0,3,0,2,2,1,0,0,0,0,0,0
Pichette,VD_Pic_4,2,3,,,,,,,,,,,,,,,,,,
Pichette,VD_Pic_5,2,3,,,,,,,,,,,,,,,,,,
Pichette,VD_Pic_6,2,3,,,,,,,,,,,,,,,,,,
Clarens,VD_Cls_1,1,4,6,10,1,17,10,,,2,,2,2,1,,1,,,,
Clarens,VD_Cls_2,1,4,5,13,,42,24,,,,,,3,,,,,2,,
Clarens,VD_Cls_3,1,4,1,16,,18,6,1,,1,,,5,1,,,,,,
Clarens,VD_Cls_4,1,4,2,4,1,6,12,,2,,,,,,,,,,,
Clarens,VD_Cls_5,2,2,,,,,,,,,,,,,,,,,,
Clarens,VD_Cls_6,2,2,,,,,,,,,,,,,,,,,,
Clarens,VD_Cls_7,2,2,,,,,,,,,,,,,,,,,,
Grangettes,VD_Grs_1,1,1,,,,,,,,,,,,,,,,,,
Grangettes,VD_Grs_2,1,1,,,,,,,,,,,,,,,,,,
Grangettes,VD_Grs_3,1,1,1,16,1,53,17,1,0,2,0,4,0,4,0,0,0,0,0,0
Grangettes,VD_Grs_4,1,1,,,,,,,,,,,,,,,,,,
Grangettes,VD_Grs_5,2,1,,,,,,,,,,,,,,,,,,
Grangettes,VD_Grs_6,2,1,,,,,,,,,,,,,,,,,,
Grangettes,VD_Grs_7,2,1,,,,,,,,,,,,,,,,,,
Bouveret,VS_Bou_1,1,1,4,10,0,37,17,0,1,1,0,6,4,2,0,0,0,0,0,0
Bouveret,VS_Bou_2,1,1,6,16,2,63,13,0,0,1,0,8,0,0,0,0,0,0,0,0
Bouveret,VS_Bou_3,1,1,3,8,0,19,6,0,0,0,0,1,0,0,0,0,0,0,0,0
Bouveret,VS_Bou_4,1,1,4,8,0,17,8,0,8,1,0,3,6,0,0,0,0,2,0,0
Bouveret,VS_Bou_5,1,1,4,38,0,110,45,2,41,2,6,0,6,4,0,0,0,0,0,0
Bouveret,VS_Bou_6,1,1,2,4,2,16,10,1,,,,,,,,,,,,
Bouveret,VS_Bou_7,1,1,2,8,1,31,11,,2,,,2,1,,,,,,,
Bouveret,VS_Bou_8,2,1,,,,,,,,,,,,,,,,,,
Bouveret,VS_Bou_9,2,1,,,,,,,,,,,,,,,,,,
Bouveret,VS_Bou_10,2,1,,,,,,,,,,,,,,,,,,
Bouveret,VS_Bou_11,2,1,,,,,,,,,,,,,,,,,,
Bouveret,VS_Bou_12,2,1,,,,,,,,,,,,,,,,,,
Meillerie,74_Mei_1,1,2,,,,,,,,,,,,,,,,,,
Lugrin,74_Lug_1,1,4,,,,,,,,,,,,,,,,,,
Lugrin,74_Lug_2,1,4,,,,,,,,,,,,,,,,,,
Lugrin,74_Lug_3,1,4,,,,,,,,,,,,,,,,,,
Lugrin,74_Lug_4,2,4,,,,,,,,,,,,,,,,,,
Lugrin,74_Lug_5,2,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_1,1,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_2,1,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_3,1,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_4,1,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_5,2,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_6,2,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_7,2,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_8,2,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_9,2,4,,,,,,,,,,,,,,,,,,
Amphion,74_Amp_10,2,4,,,,,,,,,,,,,,,,,,
Saint-Disdille,74_StD_1,1,4,,,,,,,,,,,,,,,,,,
Saint-Disdille,74_StD_2,1,4,,,,,,,,,,,,,,,,,,
Saint-Disdille,74_StD_3,1,4,,,,,,,,,,,,,,,,,,
Saint-Disdille,74_StD_4,1,4,,,,,,,,,,,,,,,,,,
Saint-Disdille,74_StD_5,1,4,,,,,,,,,,,,,,,,,,
Saint-Disdille,74_StD_6,1,4,,,,,,,,,,,,,,,,,,
Anthy,74_Ant_1,1,4,,,,,,,,,,,,,,,,,,
Anthy,74_Ant_2,1,4,,,,,,,,,,,,,,,,,,
Anthy,74_Ant_3,1,4,,,,,,,,,,,,,,,,,,
Anthy,74_Ant_4,2,4,,,,,,,,,,,,,,,,,,
Anthy,74_Ant_5,2,4,,,,,,,,,,,,,,,,,,
Anthy,74_Ant_6,2,4,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_1,1,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_2,1,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_3,1,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_4,1,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_5,1,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_6,1,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_7,1,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_8,1,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_9,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_10,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_11,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_12,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_13,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_14,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_15,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_16,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_17,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_18,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_19,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_20,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_21,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_22,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_23,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_24,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_25,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_26,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_27,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_28,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_29,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_30,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_31,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_32,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_33,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_34,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_35,2,1,,,,,,,,,,,,,,,,,,
Excenevex,74_Exc_36,2,1,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_1,1,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_2,1,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_3,1,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_4,1,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_5,1,2,1,10,,26,6,,5,,,,2,1,,,,,,
Tougues,74_Tou_6,1,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_7,2,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_8,2,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_9,2,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_10,2,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_11,2,2,,,,,,,,,,,,,,,,,,
Tougues,74_Tou_12,2,2,,,,,,,,,,,,,,,,,,
