Lieu;Aire;Temps;Position;Substrat;Date;Saison;Objet;Code;OPSAR;UNEP;Quantité;Poids;;;
Baby Plage;112;60;1;1;22.01.2022;1;Ballon de baudruche;G125;49;RB01;1;0,0008;0,008928571;0,8;0,8
Baby Plage;384;200;2;1;22.01.2022;1;Ballon de baudruche;G125;49;RB01;1;0,0008;0,002604167;0,8;0,8
Baby Plage;112;60;1;1;15.10.2022;4;Ballon de baudruche;G125;49;RB01;1;0,0008;0,008928571;0,8;0,8
Baby Plage;112;60;1;1;22.01.2022;1;Balle/Ballon de sport;G126;;RB01;1;0,45;0,008928571;450;
Baby Plage;112;60;1;1;22.01.2022;1;Pneu velo;G128;52;RB04;3;1,2;0,026785714;400;
Baby Plage;384;200;2;1;23.04.2022;2;Bande élastique;G131;;;4;0,00112;0,010416667;0,28;0,28
Baby Plage;384;200;2;1;02.09.2022;3;Bande élastique;G131;;;4;0,00112;0,010416667;0,28;0,28
Baby Plage;384;200;2;1;15.10.2022;4;Bande élastique;G131;;;4;0,00112;0,010416667;0,28;0,28
Baby Plage;112;60;1;1;22.01.2022;1;Morceau de caoutchouc entre 5 et 30cm;G134;53;RB08;1;0,01;0,008928571;10;
Baby Plage;112;60;1;1;23.04.2022;2;Morceau de caoutchouc moins de 5cm;G134;53;RB08;2;0,004;0,017857143;2;
Baby Plage;384;200;2;1;02.09.2022;3;Morceau de caoutchouc moins de 5cm;G134;53;RB08;1;0,002;0,002604167;2;
Baby Plage;112;60;1;1;23.04.2022;2;Chausette;G135;;CL01;1;0,015;0,008928571;15;
Baby Plage;384;200;2;1;23.04.2022;2;Chapeau/casquette/béret;G137;54;CL01;1;0,073;0,002604167;73;
Baby Plage;112;60;1;1;02.09.2022;3;Serviette/Mouchoir en tissu;G137;54;CL01;1;0,056;0,008928571;56;
Baby Plage;384;200;2;1;23.04.2022;2;Chiffon/Patte ;G145;59;CL06;1;0,056;0,002604167;56;
Baby Plage;384;200;2;1;02.09.2022;3;Chiffon/Patte ;G145;59;CL06;2;0,112;0,005208333;56;
Baby Plage;112;60;1;1;15.10.2022;4;Morceau de textile de moins de 5 cm;G145;59;CL06;6;0,0156;0,053571429;2,6;
Baby Plage;384;200;2;1;15.10.2022;4;Morceau de textile de moins de 5 cm;G145;59;CL06;6;0,0156;0,015625;2,6;
Baby Plage;112;60;1;1;23.04.2022;2;Rondelle de coton;G145;59;CL06;1;0,0002;0,008928571;0,2;
Baby Plage;384;200;2;1;23.04.2022;2;Rondelle de coton;G145;59;CL06;1;0,0002;0,002604167;0,2;
Baby Plage;384;200;2;1;02.09.2022;3;Rondelle de coton;G145;59;CL06;1;0,0002;0,002604167;0,2;
Baby Plage;384;200;2;1;22.01.2022;1;Cable/fil électrique;G194;;;3;0,006;0,0078125;2;2
