location,loc_date,Orientation,latitude,longitude,position,substrate,area,time,length
Saint-Disdille,74_StD_4,NNO,46.4011,6.502683333,1,4,75,30,100
Saint-Disdille,74_StD_5,NNO,46.40115,6.50275,1,4,75,30,100
Saint-Disdille,74_StD_6,NO,46.40126667,6.502916667,1,4,75,30,100
Tougues,74_Tou_1,NO,46.32471667,6.256883333,1,2,94,45,114
Tougues,74_Tou_10,NO,46.32513333,6.257416667,2,2,450,220,114
Tougues,74_Tou_11,NO,46.32526667,6.257516667,2,2,450,220,114
Tougues,74_Tou_12,NO,46.3253,6.257583333,2,2,450,220,114
Tougues,74_Tou_2,NO,46.32481667,6.256983333,1,2,94,45,114
Tougues,74_Tou_3,NO,46.32491667,6.257066667,1,2,94,45,114
Tougues,74_Tou_4,NO,46.32501667,6.257233333,1,2,94,45,114
Tougues,74_Tou_5,NO,46.32515,6.25735,1,2,94,45,114
Tougues,74_Tou_6,NO,46.32535,6.257533333,1,2,94,45,114
Tougues,74_Tou_7,NO,46.32473333,6.256916667,2,2,450,220,114
Tougues,74_Tou_8,NO,46.32481667,6.257033333,2,2,450,220,114
Tougues,74_Tou_9,NO,46.32491667,6.257133333,2,2,450,220,114
Baby Plage,GE_Bab_1,NNE,46.20878333,6.16285,1,1,112,60,81
Baby Plage,GE_Bab_10,N,46.20865,6.16345,2,1,384,200,81
Baby Plage,GE_Bab_11,N,46.2086,6.1633,2,1,384,200,81
Baby Plage,GE_Bab_12,N,46.2086,6.1634,2,1,384,200,81
Baby Plage,GE_Bab_2,N,46.20873333,6.163116667,1,1,112,60,81
Baby Plage,GE_Bab_3,N,46.20873333,6.16325,1,1,112,60,81
Baby Plage,GE_Bab_4,N,46.20875,6.163383333,1,1,112,60,81
Baby Plage,GE_Bab_5,N,46.20878333,6.163466667,1,1,112,60,81
Baby Plage,GE_Bab_6,NNE,46.20875,6.16285,2,1,384,200,81
Baby Plage,GE_Bab_7,NNE,46.2087,6.163066667,2,1,384,200,81
Baby Plage,GE_Bab_8,N,46.20868333,6.163216667,2,1,384,200,81
Baby Plage,GE_Bab_9,N,46.20863333,6.163283333,2,1,384,200,81
Hermance,GE_Her_1,OSO,46.30358333,6.240833333,1,3,105,50,64
Hermance,GE_Her_2,OSO,46.3037,6.240683333,1,3,105,50,64
Hermance,GE_Her_3,OSO,46.30378333,6.24065,1,3,105,50,64
Hermance,GE_Her_4,OSO,46.3039,6.24065,1,3,105,50,64
Hermance,GE_Her_5,OSO,46.30361667,6.240866667,2,3,265,130,64
Hermance,GE_Her_6,OSO,46.3037,6.240816667,2,3,265,130,64
Hermance,GE_Her_7,OSO,46.30378333,6.240783333,2,3,265,130,64
Hermance,GE_Her_8,OSO,46.30386667,6.240733333,2,3,265,130,64
Hermance,GE_Her_9,OSO,46.30378333,6.24085,2,3,265,130,64
Port Choiseul,GE_Por_1,NE,46.28966667,6.170716667,1,3,147,70,78
Port Choiseul,GE_Por_10,NE,46.28933333,6.170883333,2,3,297,150,78
Port Choiseul,GE_Por_2,NE,46.28955,6.170783333,1,3,147,70,78
Port Choiseul,GE_Por_3,NE,46.28946667,6.17085,1,3,147,70,78
Port Choiseul,GE_Por_4,NE,46.28941667,6.1709,1,3,147,70,78
Port Choiseul,GE_Por_5,NE,46.28936667,6.17095,1,3,147,70,78
Port Choiseul,GE_Por_6,NE,46.28928333,6.170966667,1,3,147,70,78
Port Choiseul,GE_Por_7,NE,46.2896,6.17075,2,3,297,150,78
