place,événement,zone,substrat,fibres,fdure,souple,fragments,status,orientation,temps,total,région,lat,lon
Rolle,VD_Rol_5,ligne-d'eau,2,98.0,21.0,2.0,23.0,prior,S,60,121.0,grand-lac,46.46136667,6.350266667
Rolle,VD_Rol_6,ligne-d'eau,2,145.0,40.0,9.0,49.0,prior,S,60,194.0,grand-lac,46.46136667,6.3502
Rolle,VD_Rol_7,ligne-d'eau,2,177.0,21.0,2.0,23.0,prior,S,60,200.0,grand-lac,46.46138333,6.350133333
Rolle,VD_Rol_8,ligne-d'eau,2,83.0,41.0,6.0,47.0,prior,SSE,60,130.0,grand-lac,46.46136667,6.35005
Rolle,VD_Rol_9,ligne-d'eau,2,72.0,21.0,2.0,23.0,prior,SSE,60,95.0,grand-lac,46.46135,6.3499
Rolle,VD_Rol_10,ligne-d'eau,2,72.0,10.0,3.0,13.0,prior,S,60,85.0,grand-lac,46.46133333,6.349783333
Aubonne,VD_Aub_1,ligne-d'eau,4,39.0,5.0,0.0,5.0,prior,ONO,40,44.0,grand-lac,46.46026667,6.39115
Aubonne,VD_Aub_2,ligne-d'eau,4,51.0,8.0,0.0,8.0,prior,O,40,59.0,grand-lac,46.46033333,6.391183333
Aubonne,VD_Aub_3,ligne-d'eau,4,86.0,2.0,1.0,3.0,prior,OSO,40,89.0,grand-lac,46.46041667,6.391166667
Aubonne,VD_Aub_4,ligne-d'eau,4,30.0,37.0,0.0,37.0,prior,OSO,40,67.0,grand-lac,46.46046667,6.391133333
Aubonne,VD_Aub_5,ligne-d'eau,4,42.0,11.0,2.0,13.0,prior,SO,40,55.0,grand-lac,46.46051667,6.39115
Tolochenaz,VD_Tol_1,ligne-d'eau,2,54.0,3.0,0.0,3.0,prior,SE,25,57.0,grand-lac,46.4917,6.48075
Tolochenaz,VD_Tol_2,ligne-d'eau,2,54.0,1.0,0.0,1.0,prior,SE,25,55.0,grand-lac,46.49166667,6.4807
Tolochenaz,VD_Tol_3,ligne-d'eau,2,82.0,7.0,0.0,7.0,prior,ENE,25,89.0,grand-lac,46.49158333,6.480633333
Tolochenaz,VD_Tol_4,ligne-d'eau,2,176.0,6.0,0.0,6.0,prior,ENE,25,182.0,grand-lac,46.4916,6.480583333
Préverenges,VD_Pré_1,ligne-d'eau,1,179.0,16.0,3.0,19.0,prior,SO,80,198.0,grand-lac,46.51141667,6.529916667
Préverenges,VD_Pré_3,ligne-d'eau,1,251.0,112.0,118.0,230.0,prior,SO,80,481.0,grand-lac,46.51158333,6.529683333
Préverenges,VD_Pré_4,ligne-d'eau,1,36.0,41.0,1.0,42.0,prior,SO,80,78.0,grand-lac,46.51166667,6.529533333
Préverenges,VD_Pré_5,ligne-d'eau,1,67.0,58.0,3.0,61.0,prior,SO,80,128.0,grand-lac,46.51173333,6.529383333
Préverenges,VD_Pré_6,ligne-d'eau,1,69.0,15.0,2.0,17.0,prior,SO,80,86.0,grand-lac,46.51188333,6.529083333
Préverenges,VD_Pré_7,ligne-d'eau,1,110.0,32.0,6.0,38.0,prior,SO,80,148.0,grand-lac,46.51195,6.529016667
Préverenges,VD_Pré_8,ligne-d'eau,1,132.0,9.0,10.0,19.0,prior,SO,80,151.0,grand-lac,46.512,6.528883333
Préverenges,VD_Pré_9,ligne-d'eau,1,118.0,43.0,13.0,56.0,prior,SO,80,174.0,grand-lac,46.51208333,6.528733333
