;;;;;;;;;;;FIBRE;;;;;;FRAGMENT DUR;;;;;;FRAGMENT SOUPLE;;;;;
Plage;"Fréquentation (1=Faible; 2=moyenne; 3= élevée)";"Situation (1 = campagne; 2 =urbain)";"Distance parking (1=<100m; 2=100-500m; 3=500-1000m; 4=<1000m)";Echantillon;Coordonnée x;Coordonnée y;Orientation;Orientation moyenne;"Position de l'échantillon
1 = Ligne d'eau
2 = reste de la plage";"Substrat (1 = Sable fin; 2 = Sable grossier; 3 = Gravier; 4 = Galet )";Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre
Tougues;3;1;2;74_Tou_7;46,32473333;6,256916667;NO;315;2;2;;;;;;;;;;;;;;;;;;
Tougues;3;1;2;74_Tou_8;46,32481667;6,257033333;NO;315;2;2;;;;;;;;;;;;;;;;;;
Tougues;3;1;2;74_Tou_9;46,32491667;6,257133333;NO;315;2;2;;;;;;;;;;;;;;;;;;
Baby Plage;3;2;2;GE_Bab_1;46,20878333;6,16285;NNE;5,625;1;1;4;11;0;3;4;0;0;0;0;0;1;0;0;0;0;0;0;0
Baby Plage;3;2;2;GE_Bab_10;46,20865;6,16345;N;5,625;2;1;;;;;;;;;;;;;;;;;;
Baby Plage;3;2;2;GE_Bab_11;46,2086;6,1633;N;5,625;2;1;;;;;;;;;;;;;;;;;;
Baby Plage;3;2;2;GE_Bab_12;46,2086;6,1634;N;5,625;2;1;;;;;;;;;;;;;;;;;;
Baby Plage;3;2;2;GE_Bab_2;46,20873333;6,163116667;N;5,625;1;1;4;16;1;83;16;2;2;0;0;1;0;0;0;0;0;0;0;0
Baby Plage;3;2;2;GE_Bab_3;46,20873333;6,16325;N;5,625;1;1;3;3;0;17;8;0;0;0;0;0;1;0;0;0;0;0;0;0
Baby Plage;3;2;2;GE_Bab_4;46,20875;6,163383333;N;5,625;1;1;6;2;0;7;6;0;2;0;2;1;0;1;0;0;0;0;0;0
Baby Plage;3;2;2;GE_Bab_5;46,20878333;6,163466667;N;5,625;1;1;7;26;0;53;33;0;0;14;0;3;2;0;0;0;0;0;0;0
Baby Plage;3;2;2;GE_Bab_6;46,20875;6,16285;NNE;5,625;2;1;4;11;0;23;13;0;2;1;1;1;2;1;0;0;0;0;0;0
Baby Plage;3;2;2;GE_Bab_7;46,2087;6,163066667;NNE;5,625;2;1;7;10;1;47;22;1;4;1;0;3;2;2;0;0;0;0;0;0
Baby Plage;3;2;2;GE_Bab_8;46,20868333;6,163216667;N;5,625;2;1;16;38;2;76;70;1;4;6;1;2;2;1;0;0;0;3;1;0
Baby Plage;3;2;2;GE_Bab_9;46,20863333;6,163283333;N;5,625;2;1;;;;;;;;;;;;;;;;;;
Hermance;3;2;2;GE_Her_1;46,30358333;6,240833333;OSO;247,5;1;3;4;14;0;51;10;0;2;1;0;0;0;0;0;0;0;0;0;0
Hermance;3;2;2;GE_Her_2;46,3037;6,240683333;OSO;247,5;1;3;3;2;;15;5;;;1;;;;;;;;;;
Hermance;3;2;2;GE_Her_3;46,30378333;6,24065;OSO;247,5;1;3;5;7;2;26;29;;;3;;1;;;;;;;;
Hermance;3;2;2;GE_Her_4;46,3039;6,24065;OSO;247,5;1;3;6;12;1;24;32;1;4;1;0;3;1;0;0;0;0;0;0;0
Hermance;3;2;2;GE_Her_5;46,30361667;6,240866667;OSO;247,5;2;3;;;;;;;;;;;;;;;;;;
Hermance;3;2;2;GE_Her_6;46,3037;6,240816667;OSO;247,5;2;3;;;;;;;;;;;;;;;;;;
Hermance;3;2;2;GE_Her_7;46,30378333;6,240783333;OSO;247,5;2;3;;;;;;;;;;;;;;;;;;
Hermance;3;2;2;GE_Her_8;46,30386667;6,240733333;OSO;247,5;2;3;;;;;;;;;;;;;;;;;;
Hermance;3;2;2;GE_Her_9;46,30378333;6,24085;OSO;247,5;2;3;;;;;;;;;;;;;;;;;;
Port Choiseul;3;2;2;GE_Por_1;46,28966667;6,170716667;NE;45;1;3;10;5;3;5;14;;1;;1;;;;;;;1;;
Port Choiseul;3;2;2;GE_Por_10;46,28933333;6,170883333;NE;45;2;3;83;125;17;489;142;3;18;19;5;119;13;23;1;3;2;14;0;0
Port Choiseul;3;2;2;GE_Por_2;46,28955;6,170783333;NE;45;1;3;3;15;0;28;13;2;0;1;0;0;0;0;0;0;0;0;0;0
Port Choiseul;3;2;2;GE_Por_3;46,28946667;6,17085;NE;45;1;3;10;11;6;26;24;3;1;1;;3;1;4;;;;1;;
Port Choiseul;3;2;2;GE_Por_4;46,28941667;6,1709;NE;45;1;3;18;6;;34;3;1;;;;3;;;;1;;4;;
Port Choiseul;3;2;2;GE_Por_5;46,28936667;6,17095;NE;45;1;3;5;1;2;12;14;1;;;;;;;;;;1;;
Port Choiseul;3;2;2;GE_Por_6;46,28928333;6,170966667;NE;45;1;3;11;21;3;17;27;5;;;1;;;;;;;;;
Port Choiseul;3;2;2;GE_Por_7;46,2896;6,17075;NE;45;2;3;98;153;16;355;149;2;36;337;213;91;3;16;0;1;2;19;1;0
Port Choiseul;3;2;2;GE_Por_8;46,28951667;6,170783333;NE;45;2;3;;;;;;;;;;;;;;;;;;
Port Choiseul;3;2;2;GE_Por_9;46,28941667;6,170816667;NE;45;2;3;83;157;11;395;135;8;12;63;2;64;6;10;2;2;1;26;0;0
Savonière;3;1;1;GE_Sav_1;46,26413333;6,199733333;NO;307,5;1;4;7;10;0;69;23;1;1;2;0;7;0;0;0;0;0;0;0;0
Savonière;3;1;1;GE_Sav_2;46,26416667;6,199916667;NO;307,5;1;4;;1;;13;10;;;1;;1;;;;;;;;
Savonière;3;1;1;GE_Sav_3;46,26426667;6,20005;OSO;307,5;1;4;10;39;4;116;41;0;9;13;4;6;0;2;0;0;0;0;0;0
Savonière;3;1;1;GE_Sav_4;46,26411667;6,199733333;NO;307,5;2;2;;;;;;;;;;;;;;;;;;
Savonière;3;1;1;GE_Sav_5;46,26413333;6,1999;NO;307,5;2;2;;;;;;;;;;;;;;;;;;
Savonière;3;1;1;GE_Sav_6;46,26421667;6,199983333;NO;307,5;2;2;;;;;;;;;;;;;;;;;;
Savonière;3;1;1;GE_Sav_7;46,26408333;6,199783333;NO;307,5;2;2;;;;;;;;;;;;;;;;;;
