loc_date,date,slug,code,quantity,city,feature_name,feature_type,parent_boundary,pcs_m,project
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G199,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G2,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G20,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G200,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G201,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G202,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G203,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G204,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G205,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G207,30,La Tour-de-Peilz,lac-leman,l,rhone,1.07,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G208,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G210,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G211,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G213,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
