Plage,échantillon,orientation,position,substrat,fréquentation,situation,distance,objet,compte
Clarens,VD_Cls_2,SSO,1,4,3,2,1,souple,2.0
Clarens,VD_Cls_3,SSO,1,4,3,2,1,fdure,7.0
Clarens,VD_Cls_3,SSO,1,4,3,2,1,fibres,42.0
Clarens,VD_Cls_3,SSO,1,4,3,2,1,souple,0.0
Clarens,VD_Cls_4,SSO,1,4,3,2,1,fdure,2.0
Clarens,VD_Cls_4,SSO,1,4,3,2,1,fibres,25.0
Clarens,VD_Cls_4,SSO,1,4,3,2,1,souple,0.0
Clarens,VD_Cls_5,SSO,2,2,3,2,1,fdure,2.0
Clarens,VD_Cls_5,SSO,2,2,3,2,1,fibres,31.0
Clarens,VD_Cls_5,SSO,2,2,3,2,1,souple,4.0
Clarens,VD_Cls_6,SSO,2,2,3,2,1,fdure,17.0
Clarens,VD_Cls_6,SSO,2,2,3,2,1,fibres,119.0
Clarens,VD_Cls_6,SSO,2,2,3,2,1,souple,41.0
Crans,VD_Cra_1,SSE,1,2,1,1,3,fdure,2.0
Crans,VD_Cra_1,SSE,1,2,1,1,3,fibres,17.0
Crans,VD_Cra_1,SSE,1,2,1,1,3,souple,0.0
Cully,VD_Cul_1,SO,1,3,1,1,1,fdure,11.0
Cully,VD_Cul_1,SO,1,3,1,1,1,fibres,117.0
Cully,VD_Cul_1,SO,1,3,1,1,1,souple,0.0
Excenevex,74_Exc_1,NE,1,1,3,1,1,fdure,13.0
Excenevex,74_Exc_1,NE,1,1,3,1,1,fibres,84.0
Excenevex,74_Exc_1,NE,1,1,3,1,1,souple,21.0
Excenevex,74_Exc_10,NE,2,1,3,1,1,fdure,43.0
Excenevex,74_Exc_10,NE,2,1,3,1,1,fibres,110.0
Excenevex,74_Exc_10,NE,2,1,3,1,1,souple,144.0
Excenevex,74_Exc_11,NE,2,1,3,1,1,fdure,14.0
Excenevex,74_Exc_11,NE,2,1,3,1,1,fibres,98.0
Excenevex,74_Exc_11,NE,2,1,3,1,1,souple,3.0
Excenevex,74_Exc_13,NE,2,1,3,1,1,fdure,33.0
Excenevex,74_Exc_13,NE,2,1,3,1,1,fibres,68.0
Excenevex,74_Exc_13,NE,2,1,3,1,1,souple,28.0
Excenevex,74_Exc_14,NE,2,1,3,1,1,fdure,12.0
Excenevex,74_Exc_14,NE,2,1,3,1,1,fibres,76.0
Excenevex,74_Exc_14,NE,2,1,3,1,1,souple,12.0
Excenevex,74_Exc_15,NE,2,1,3,1,1,fdure,36.0
Excenevex,74_Exc_15,NE,2,1,3,1,1,fibres,124.0
Excenevex,74_Exc_15,NE,2,1,3,1,1,souple,34.0
Excenevex,74_Exc_17,NE,2,1,3,1,1,fdure,25.0
Excenevex,74_Exc_17,NE,2,1,3,1,1,fibres,97.0
Excenevex,74_Exc_17,NE,2,1,3,1,1,souple,21.0
Excenevex,74_Exc_18,NE,2,1,3,1,1,fdure,25.0
Excenevex,74_Exc_18,NE,2,1,3,1,1,fibres,108.0
Excenevex,74_Exc_18,NE,2,1,3,1,1,souple,305.0
Excenevex,74_Exc_19,NE,2,1,3,1,1,fdure,40.0
Excenevex,74_Exc_19,NE,2,1,3,1,1,fibres,78.0
Excenevex,74_Exc_19,NE,2,1,3,1,1,souple,34.0
