loc_date,slug,city,water_name_slug,date,doy,Project,code,pcs/m,quantity
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G133,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G134,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G135,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G136,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G137,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G138,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G139,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G14,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G140,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G141,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G142,0.02,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G143,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G144,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G145,0.08,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G146,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G147,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G148,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G149,0.0,0
