Plage,echantillon,position,substrat,fbr,fbb,fbj,fbt,fbn,fba,frr,frb,frj,frt,frn,fra,fsr,fsb,fsj,fst,fsn,fsa,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation
Rolle,VD_Rol_19,2,1,8.0,21.0,0.0,52.0,16.0,0.0,11.0,8.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,134.0,97.0,33.0,4.0,37.0,3.0,2.0,1.0,S
Rolle,VD_Rol_2,1,1,7.0,4.0,0.0,7.0,10.0,0.0,2.0,2.0,5.0,2.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,28.0,35.0,0.0,35.0,3.0,2.0,1.0,SSO
Rolle,VD_Rol_20,2,1,7.0,19.0,1.0,44.0,26.0,1.0,7.0,5.0,5.0,9.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,136.0,98.0,31.0,7.0,38.0,3.0,2.0,1.0,S
Rolle,VD_Rol_21,2,1,14.0,42.0,5.0,134.0,43.0,2.0,47.0,68.0,21.0,15.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,400.0,240.0,154.0,6.0,160.0,3.0,2.0,1.0,SSE
Rolle,VD_Rol_3,1,1,18.0,9.0,0.0,15.0,18.0,0.0,4.0,2.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,78.0,60.0,15.0,3.0,18.0,3.0,2.0,1.0,SSO
Rolle,VD_Rol_4,1,1,12.0,30.0,0.0,80.0,36.0,2.0,2.0,2.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,186.0,160.0,24.0,2.0,26.0,3.0,2.0,1.0,SSO
Rolle,VD_Rol_5,1,1,15.0,15.0,0.0,43.0,23.0,2.0,1.0,3.0,1.0,3.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,121.0,98.0,21.0,2.0,23.0,3.0,2.0,1.0,S
Rolle,VD_Rol_6,1,1,20.0,24.0,0.0,73.0,24.0,4.0,3.0,1.0,4.0,1.0,29.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,194.0,145.0,40.0,9.0,49.0,3.0,2.0,1.0,S
Rolle,VD_Rol_7,1,1,22.0,37.0,2.0,81.0,33.0,2.0,2.0,0.0,0.0,1.0,17.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,200.0,177.0,21.0,2.0,23.0,3.0,2.0,1.0,S
Rolle,VD_Rol_8,1,1,12.0,11.0,2.0,27.0,30.0,1.0,5.0,25.0,4.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,130.0,83.0,41.0,6.0,47.0,3.0,2.0,1.0,SSE
Rolle,VD_Rol_9,1,1,3.0,9.0,0.0,56.0,4.0,0.0,4.0,1.0,2.0,4.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,95.0,72.0,21.0,2.0,23.0,3.0,2.0,1.0,SSE
Tolochenaz,VD_Tol_1,1,2,2.0,16.0,0.0,28.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,54.0,3.0,0.0,3.0,1.0,1.0,4.0,SE
Tolochenaz,VD_Tol_2,1,2,2.0,12.0,0.0,24.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.0,1.0,0.0,1.0,1.0,1.0,4.0,SE
Tolochenaz,VD_Tol_3,1,2,6.0,19.0,0.0,33.0,24.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,82.0,7.0,0.0,7.0,1.0,1.0,4.0,ENE
Tolochenaz,VD_Tol_4,1,2,14.0,29.0,2.0,74.0,57.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,176.0,6.0,0.0,6.0,1.0,1.0,4.0,ENE
Vidy,VD_Vid_1,1,1,18.0,22.0,1.0,37.0,21.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,102.0,2.0,0.0,2.0,3.0,2.0,2.0,SO
Vidy,VD_Vid_10,2,1,8.0,22.0,1.0,112.0,27.0,1.0,4.0,5.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,23.0,0.0,0.0,211.0,171.0,12.0,28.0,40.0,3.0,2.0,2.0,S
Vidy,VD_Vid_11,2,1,8.0,21.0,1.0,67.0,27.0,0.0,21.0,7.0,2.0,7.0,0.0,0.0,1.0,2.0,0.0,9.0,3.0,0.0,176.0,124.0,37.0,15.0,52.0,3.0,2.0,2.0,SO
Vidy,VD_Vid_12,2,1,14.0,20.0,11.0,52.0,32.0,0.0,22.0,27.0,0.0,7.0,2.0,4.0,4.0,7.0,1.0,37.0,1.0,0.0,241.0,129.0,62.0,50.0,112.0,3.0,2.0,2.0,SO
Vidy,VD_Vid_13,2,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,S
Vidy,VD_Vid_2,1,1,25.0,48.0,1.0,82.0,46.0,0.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,213.0,202.0,10.0,1.0,11.0,3.0,2.0,2.0,SO
Vidy,VD_Vid_3,1,1,2.0,12.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,39.0,1.0,0.0,1.0,3.0,2.0,2.0,SO
Vidy,VD_Vid_4,1,1,3.0,6.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,2.0,0.0,2.0,3.0,2.0,2.0,S
Vidy,VD_Vid_5,1,1,1.0,9.0,0.0,21.0,4.0,1.0,0.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,51.0,36.0,13.0,2.0,15.0,3.0,2.0,2.0,S
