échantillon,slug,date,code,pcs_m,fréquentation,situation,distance,substrat
"('amphion', '03.05.2022')",amphion,2022-05-03,G35,0.08791208791208792,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G39,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G4,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G48,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G50,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G53,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G54,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G66,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G67,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G7,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G70,0.13186813186813187,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G73,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G74,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G89,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G90,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G901,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G905,0.03296703296703297,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G914,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G922,0.054945054945054944,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G926,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G929,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G931,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G932,0.13186813186813187,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G937,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G95,0.4835164835164835,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G97,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,G99,0.0,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,Gcaps,0.38461538461538464,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,Gfoams,0.2857142857142857,3,1,1,4
"('amphion', '03.05.2022')",amphion,2022-05-03,Gfrags,2.142857142857143,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G10,0.01098901098901099,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G100,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G101,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G102,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G103,0.07692307692307693,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G106,0.18681318681318682,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G112,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G113,0.12087912087912088,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G114,0.34065934065934067,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G117,0.06593406593406594,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G12,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G125,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G126,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G127,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G128,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G129,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G131,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G132,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G133,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G135,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G136,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G137,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G139,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G144,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G145,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G148,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G155,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G159,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G165,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G18,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G194,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G2,0.01098901098901099,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G211,0.01098901098901099,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G25,0.01098901098901099,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G26,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G27,0.13186813186813187,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G28,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G29,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G30,0.43956043956043955,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G31,0.13186813186813187,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G32,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G33,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G34,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G35,0.07692307692307693,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G39,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G4,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G48,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G50,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G53,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G54,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G66,0.01098901098901099,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G67,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G7,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G70,0.054945054945054944,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G73,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G74,0.06593406593406594,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G89,0.04395604395604396,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G90,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G901,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G905,0.03296703296703297,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G914,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G922,0.02197802197802198,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G926,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G929,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G931,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G932,0.1978021978021978,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G937,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G95,0.7362637362637363,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G97,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,G99,0.0,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,Gcaps,0.8131868131868132,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,Gfoams,0.6153846153846154,3,1,1,4
"('amphion', '18.10.2022')",amphion,2022-10-18,Gfrags,3.4395604395604398,3,1,1,4
